"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Assets","1.0","Assets-{top_2000_id_1705+us_companies_id_1014}","top_2000_id_1705+us_companies_id_1014","{0.0|0.0}","0.0",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1092}","us_companies_id_1092","{2013}","2013",,
"Revenue","1.0","Revenue-{fortune_500_id_1449+us_companies_id_1052}","fortune_500_id_1449+us_companies_id_1052","{0.0|0.0}","0.0","true","0.0"
"Website","1.0","Website-{us_companies_id_1400}","us_companies_id_1400","{www.reisystems.com}","www.reisystems.com",,
"Name","0.0","Name-{top_2000_id_1939+us_companies_id_1065}","top_2000_id_1939+us_companies_id_1065","{RHB Capital|CAN Capital}","CAN Capital",,
"Website","1.0","Website-{us_companies_id_1303}","us_companies_id_1303","{https://www.moodys.com}","https://www.moodys.com",,
"Website","1.0","Website-{us_companies_id_1412}","us_companies_id_1412","{http://www.sap.com/}","http://www.sap.com/",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1514}","us_companies_id_1514","{1836}","1836",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_1159+us_companies_id_1164}","top_2000_id_1159+us_companies_id_1164","{42.9|0.0}","0.0",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1044}","us_companies_id_1044","{Not reported by company}","Not reported by company","true","Not reported by company"
"Revenuesource","1.0","Revenuesource-{us_companies_id_1298}","us_companies_id_1298","{Not reported by company}","Not reported by company","true","Not reported by company"
"Revenuesource","1.0","Revenuesource-{us_companies_id_1141}","us_companies_id_1141","{Not reported by company}","Not reported by company",,
"Hqcity","1.0","Hqcity-{us_companies_id_1459}","us_companies_id_1459","{Sunnyvale}","Sunnyvale",,
"Revenue","0.5","Revenue-{top_2000_id_1602+us_companies_id_1520}","top_2000_id_1602+us_companies_id_1520","{0.0|0.0}","0.0",,
"Industry","0.0","Industry-{fortune_500_id_1037+us_companies_id_1221}","fortune_500_id_1037+us_companies_id_1221","{Information Technology Services|Data/Technology}","Data/Technology","true","Data/Technology"
"Website","1.0","Website-{us_companies_id_1227}","us_companies_id_1227","{http://www.impaqint.com}","http://www.impaqint.com",,
"Hqcity","1.0","Hqcity-{us_companies_id_1520}","us_companies_id_1520","{Sunnyvale}","Sunnyvale",,
"Assets","1.0","Assets-{top_2000_id_2512+us_companies_id_1247}","top_2000_id_2512+us_companies_id_1247","{0.0|0.0}","0.0",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1164}","us_companies_id_1164","{Not reported by company}","Not reported by company",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1273}","us_companies_id_1273","{Not reported by company}","Not reported by company","true","Not reported by company"
"Industry","1.0","Industry-{us_companies_id_1514}","us_companies_id_1514","{Business & Legal Services}","Business & Legal Services",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1082}","us_companies_id_1082","{1973}","1973","true","1973"
"Hqcity","1.0","Hqcity-{us_companies_id_1303}","us_companies_id_1303","{New York}","New York",,
"Name","0.0","Name-{top_2000_id_1312+us_companies_id_1400}","top_2000_id_1312+us_companies_id_1400","{BAE Systems|REI Systems}","BAE Systems",,
"Revenue","1.0","Revenue-{top_2000_id_1088+us_companies_id_1240+us_companies_id_1324}","top_2000_id_1088+us_companies_id_1240+us_companies_id_1324","{0.0|0.0|0.0}","0.0",,
"Hqcity","1.0","Hqcity-{us_companies_id_1412}","us_companies_id_1412","{Newtown Square}","Newtown Square",,
"Hqcity","1.0","Hqcity-{us_companies_id_1400}","us_companies_id_1400","{Sterling}","Sterling",,
"Revenue","0.5","Revenue-{top_2000_id_1201+us_companies_id_1412}","top_2000_id_1201+us_companies_id_1412","{0.0|0.0}","0.0",,
"Industry","1.0","Industry-{us_companies_id_1092}","us_companies_id_1092","{Data/Technology}","Data/Technology",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1066}","us_companies_id_1066","{Not reported by company}","Not reported by company","true","Not reported by company"
"Revenuesource","1.0","Revenuesource-{us_companies_id_1078}","us_companies_id_1078","{Not reported by company}","Not reported by company","true","Not reported by company"
"Foundingdate","1.0","Foundingdate-{us_companies_id_1419}","us_companies_id_1419","{2010}","2010",,
"Hqcity","1.0","Hqcity-{us_companies_id_1227}","us_companies_id_1227","{Columbia}","Columbia",,
"Hqcity","0.5","Hqcity-{fortune_500_id_1497+us_companies_id_1078}","fortune_500_id_1497+us_companies_id_1078","{North Kansas City|North Kansas City}","North Kansas City","true","North Kansas City"
"Assets","1.0","Assets-{top_2000_id_1939+us_companies_id_1065}","top_2000_id_1939+us_companies_id_1065","{0.0|0.0}","0.0",,
